id,deal_id,product_id,quantity,price,discount_percentage,total_amount
1,9789,1481,23,9798.16,2.94,218732.16
2,73,2773,38,8252.73,21.33,246712.06
3,3749,2907,69,6032.15,14.27,356823.99
4,1938,4079,3,3093.5,23.9,7062.46
5,6693,4533,49,4937.21,2.3,236359.05
6,2323,2284,38,7838.3,10.15,267623.08
7,4011,155,47,8945.96,17.13,348435.3
8,7720,703,33,8982.98,9.14,269343.88
9,8617,4867,49,8061.47,29.99,276547.92
10,4261,3322,13,4043.75,10.51,47043.77
11,7038,4282,94,4008.29,24.64,283940.85
12,5826,738,89,8422.35,15.33,634677.13
13,7891,3031,6,6813.09,14.94,34771.29
14,2252,4259,68,3376.03,10.32,205878.41
15,4642,2275,89,4179.9,8.31,341096.98
16,1474,677,19,652.54,0.81,12297.83
17,5200,3074,69,1537.85,10.26,95224.59
18,9729,3063,22,7300.43,6.04,150908.65
19,9101,3285,23,6864.31,0.35,157326.55
20,5120,4235,18,9626.65,12.76,151169.21
21,76,3490,20,2864.87,1.49,56443.67
22,6608,1553,54,6380.98,17.24,285168.55
23,9332,3647,70,6276.76,16.65,366217.56
24,9500,1880,11,8758.1,26.56,70751.44
25,611,4020,38,2032.69,5.09,73310.59
26,9782,3854,80,219.97,0.3,17544.81
27,2123,1908,3,7106.16,2.77,20727.96
28,5115,2718,32,775.72,7.95,22849.61
29,6948,4669,78,1046.77,19.06,66085.94
30,5836,4913,93,1804.18,4.41,160389.26
31,5155,3969,7,5597.14,19.21,31653.51
32,2471,4536,98,8462.5,14.72,707248.36
33,3528,126,12,8941.25,23.23,82370.37
34,8420,4690,31,2760.84,26.58,62837.27
35,3635,3079,12,3393.93,7.52,37664.48
36,1033,3691,47,3326.48,7.58,144493.64
37,2151,2443,31,1873.24,13.43,50271.58
38,4067,3736,70,3709.68,14.72,221453.06
39,7901,1732,12,2229.43,8.48,24484.49
40,4547,1880,9,4676.75,2.96,40844.86
41,2761,463,28,242.91,15.44,5751.33
42,958,1874,26,5345.36,20.81,110057.76
