company_name,industry,website,phone,address,city,country,postal_code,assigned_to,status
Вишнякова Инк,Construction,npo.edu,+7 177 176 4057,"наб. Киевская, д. 37",п. Обоянь,Тринидад и Тобаго,937206,2ad61bd1-b38a-44b9-a550-ef3c694549e4,Active
НПО «Самойлова»,Retail,pervi.com,8 (902) 043-0356,"ш. Локомотивное, д. 6 к. 59",к. Серпухов,Эфиопия,438650,7eab31db-ffa9-401c-a30e-98f0da62ffcc,Inactive
АО «Сидорова Муравьев»,Manufacturing,npo.info,8 (150) 082-41-23,"алл. Театральная, д. 3",ст. Аргаяш,Маршалловы Острова,705652,f537eb31-1229-4f19-96fc-c46b5cd2772b,Customer
РАО «Лазарева-Терентьева»,IT,shcherbakov.edu,+77831558904,"пр. Прудный, д. 54 стр. 5/4",клх Усть-Камчатск,Великобритания,526445,8582fc42-becc-49ab-ba38-ed36136d16c3,Inactive
"ОАО «Захарова, Сорокин и Сергеев»",IT,metalloinvest.com,+7 574 789 0997,"наб. Петровская, д. 460",клх Дагомыс,Непал,970947,5e566377-d4f1-4306-b39c-b7c9c2be45ae,Active
РАО «Носкова-Журавлева»,Healthcare,kozlova.biz,+7 793 470 0919,"ул. Ломоносова, д. 267 стр. 1/3",д. Середниково,Того,354924,44ceac22-54d5-494f-8f71-cc49652687c2,Lead
ООО «Артемьев-Потапова»,Education,silina.edu,+7 028 651 2963,"пер. Локомотивный, д. 80 стр. 4/7",к. Чебоксары,Таджикистан,921182,41630442-56d0-46af-962d-0fde6196a163,Inactive
НПО «Орлова-Савельев»,Construction,ip.info,+7 (419) 810-40-00,"пер. Гоголя, д. 6 к. 447",клх Поронайск,Мальта,114355,51c8824d-4136-4350-ab91-28459590f808,Lead
АО «Лебедева Зайцев»,Education,boes.com,+7 (884) 048-39-11,"наб. Орловская, д. 106 к. 945",клх Билибино,Тунис,969518,30f4df81-1c38-47d7-bab6-b7561d5e320b,Inactive
ЗАО «Федосеева-Тарасова»,Construction,zao.org,+7 719 570 48 38,"пр. Западный, д. 400 стр. 571",с. Ногинск (Моск.),Оман,301827,eacbe133-2d97-4977-9a41-b82fe4e66728,Prospect
ИП «Красильников-Рогова»,Finance,rao.edu,+76439315802,"бул. Крупской, д. 1 к. 82",клх Тымовское,Тунис,076288,59a14d80-7e9d-46c0-a384-cf8ec2e01e5f,Prospect
НПО «Гаврилова-Максимов»,Finance,strotransneftegaz.edu,88454762797,"бул. Тенистый, д. 6/9 стр. 4",г. Усть-Катав,Греция,125852,7e48d781-7ff8-4363-98ba-38a62f2e6885,Prospect
Татэнергосбыт,Finance,ooo.org,+79276193079,"пер. Ореховый, д. 9/5 к. 340",клх Охотск,Намибия,650844,c2bc3f1b-9361-4d9d-9629-c5b10279e99a,Customer
АО «Лапин Никитина»,Healthcare,oao.edu,8 197 216 1652,"пр. Степной, д. 487",д. Россошь,Аргентина,910818,5aa5d4d2-28c1-4a27-aa9c-fd18f283493e,Customer
Ачимгаз,Healthcare,dds.com,+77455089441,"бул. Терешковой, д. 710 стр. 9",г. Малоярославец,Словакия,315328,ca798458-eb77-4139-b7f9-51db319473a7,Customer
"ОАО «Беспалова, Федосеева и Воронов»",Retail,zao.biz,8 (751) 544-05-52,"пр. Фестивальный, д. 947",г. Городовиковск,Ботсвана,727720,87c84aae-31c0-42d4-9683-2fb367559531,Active
НПО «Калашников»,Education,antonov.info,85998149731,"бул. Песчаный, д. 111 стр. 5/3",с. Оха,Буркина-Фасо,182911,3df544ee-ef38-491e-b237-d3921209c32d,Prospect
ОАО «Соловьева»,IT,zao.ru,8 605 850 09 34,"ш. Ростовское, д. 93 к. 98",с. Карачаевск,Перу,767690,fca9b1af-e456-4ce1-920c-8716a32fada5,Lead
Мясников Групп,Manufacturing,rao.info,80523218265,"бул. Запрудный, д. 8/1",клх Орехово-Зуево,Лаос,094848,7cdf3214-6331-48d9-9e53-5c3abd34b665,Prospect
Архангельский ЦБК,Retail,beljaeva.com,8 (489) 918-6897,"ш. Коммунаров, д. 4/9",г. Кировск (Ленин.),Украина,367756,cbfc0678-2ff3-491c-8d27-81202ef88a31,Customer
ИП «Дроздова»,IT,ao.edu,8 837 813 4198,"ул. Заливная, д. 1 к. 25",г. Кизел,Швеция,952070,615ed20a-83e6-4475-81ba-63c22a118500,Inactive
Тойота Мотор (Toyota),Finance,afanasev.info,80683370727,"наб. Центральная, д. 8 к. 93",г. Краснодар,Швейцария,631067,75ab1905-df01-4ddb-8771-4666c4a9381b,Lead
РАО «Трофимова»,Education,npo.org,+7 222 644 9870,"алл. Невского, д. 691",ст. Коломна,Малави,032909,8485cb90-81a2-43e4-83c5-15c871061eeb,Active
ОАО «Богданов Федотов»,Construction,zao.org,+7 540 455 8971,"ш. Космическое, д. 84",г. Красногорск (Моск.),Гвинея,303458,f7bfec87-733c-45e8-ba4f-ee6b4e6c7308,Active
"АО «Панфилова, Дмитриев и Носов»",Retail,nikolaev.edu,8 696 715 02 53,"ул. Союзная, д. 753 к. 219",с. Биробиджан,Армения,923677,6bf65312-a2ce-40a5-8ca1-c779a3feeef1,Prospect
Юг-Авто,Finance,zao.biz,8 (409) 825-63-28,"бул. Локомотивный, д. 5",д. Камышлов,Багамские Острова,829547,8c26f89a-acbe-4d80-a53b-50271362f8e3,Customer
Борисова и партнеры,Finance,kalinina.org,8 715 375 95 47,"ул. ДОС, д. 927",п. Сунтар,Мексика,489522,1f79beed-ad0c-4c94-8158-f1680fcf6f4c,Inactive
ИП «Иванова-Капустин»,Healthcare,npo.ru,82678608246,"ш. Морское, д. 554 стр. 275",к. Смирных,Руанда,414532,3745b245-4791-4aa7-a377-436c9fd7de1d,Inactive
РАО «Гуляева»,Retail,kompanija.net,87810588699,"наб. Шмидта, д. 60",с. Чебоксары,Литва,292045,f6813bfc-acee-4736-b23d-4b50c8e4f4fd,Lead
ОАО «Ермакова Александров»,Construction,rao.edu,+7 493 822 75 56,"наб. Тургенева, д. 7/6 стр. 2",д. Каргасок,Германия,596112,d123ae87-d9bf-427b-9309-2ebec4dc24c3,Active
НПО «Князева-Емельянов»,Retail,nestle.com,+7 (263) 493-92-91,"пр. 60 лет СССР, д. 8/8",п. Выборг,Бенин,731969,0e9fb19d-a25a-49e5-ac5e-7ef75a783219,Customer
НПО «Карпова-Веселов»,Healthcare,gk.info,+7 (740) 209-0061,"пр. Красноярский, д. 7 к. 9/3",д. Моздок,Испания,890096,008bb5aa-5e54-453e-b166-ce479db211a3,Lead
Наумов Инк,Construction,zao.ru,+7 640 628 5326,"наб. Челюскинцев, д. 32",клх Кондопога,Перу,020490,70d65823-a833-4ca2-b2f0-d360b5221b36,Prospect
АО «Емельянов»,Retail,billa.biz,+7 (863) 955-38-30,"бул. Дорожный, д. 1/5",д. Хужир,Камбоджа,744082,a6c091cd-efed-45cd-b480-b364e23a09a8,Active
"ОАО «Одинцова, Филатов и Кузнецов»",Healthcare,ooo.net,8 (619) 514-96-96,"алл. Центральная, д. 6 стр. 1",п. Кемерово,КНДР,417800,a10ce996-1749-4c6f-b206-bd0774d0b43a,Customer
АльфаСтрахование,Education,martinov.net,8 721 811 5884,"пер. Казанский, д. 3/6",п. Серов,Монголия,105664,12f7ff06-a453-43fc-9110-ce3278745322,Active
ЗАО «Фокин»,Retail,gk.edu,+76928392992,"наб. Малая, д. 229 стр. 7",д. Йошкар-Ола,Литва,114151,e6e5f9d1-34b6-4560-9f0e-df996ed25230,Inactive
АО «Овчинников»,Construction,rao.info,86162615977,"пер. Некрасова, д. 5 стр. 12",п. Североморск,Турция,000637,2e7049fa-be1e-4aae-a08a-683d7deb3b07,Inactive
"ОАО «Максимова, Колобова и Рябов»",Manufacturing,oao.com,8 695 491 95 80,"пер. Союзный, д. 160 стр. 7/7",клх Владивосток,Сербия,114815,c969b87e-3569-41b1-b65c-c6006331bd07,Lead
Модум-транс,Manufacturing,rao.ru,+76512579102,"наб. Рязанская, д. 3/5 к. 329",г. Сухиничи,Доминика,274820,55a22268-910b-485e-8cd5-c10c888ebfeb,Active
Носова Инк,IT,ooo.edu,8 111 428 10 71,"бул. Высотный, д. 3/8 стр. 1/1",с. Галич,Сомали,390762,a44774d8-b88c-486f-8eef-e059ab53b94f,Inactive
Никонов Лтд,IT,ao.ru,82917039996,"ш. Иванова, д. 10 к. 122",д. Мураши,Кабо-Верде,564255,857c0439-cdcb-43ae-bebc-63da5566063e,Active
"ОАО «Захарова, Хохлова и Беляев»",IT,panfilov.org,8 (387) 093-01-74,"пр. Королева, д. 3 к. 57",д. Неплюевка,Венгрия,188880,82e1da5f-3541-44cf-847d-d177d55c270a,Inactive
"ОАО «Филиппова, Юдина и Шубин»",Construction,ooo.org,8 250 545 32 56,"пер. Папанина, д. 113 к. 1/8",клх Кировск (Мурм.),Гренада,014198,6c9049a9-49d5-4032-a7ae-84ca80b98283,Active
Гурьев Групп,Construction,evdokimova.biz,+7 (602) 839-74-40,"пер. Калужский, д. 66",клх Бронницы,Франция,496313,2eaf4bd8-d4c4-4ece-b103-6bf0d11d2399,Inactive
Банк Русский стандарт,Education,ip.info,+7 (132) 851-57-62,"пер. Белорусский, д. 1",ст. Красноуфимск,Андорра,505756,c9bfc783-3ab6-4490-ade9-6577a6af3940,Inactive
ОАО «Михайлова»,Finance,npo.info,8 560 357 4123,"ш. Орловское, д. 5/3",клх Прохладный,Эфиопия,755216,9e244524-9f39-4940-8039-379803690f91,Inactive
Фомин Групп,Manufacturing,ao.ru,+7 (958) 462-1825,"пр. Покровский, д. 74 стр. 4/4",г. Тосно,Эритрея,358392,66d9ab7a-85d6-4ebf-ad1e-2e844a0aac19,Prospect
ООО «Коновалов»,IT,ip.com,8 026 000 7843,"алл. Шаумяна, д. 22",п. Агинское (Забайк.),Алжир,785833,857c0439-cdcb-43ae-bebc-63da5566063e,Active
ООО «Матвеев Лаврентьев»,Finance,virlpul.info,+77653778367,"ш. Прибрежное, д. 21 стр. 4/7",ст. Дубна,Маврикий,323371,16703834-7bbf-4ad5-a671-01d836562c29,Inactive
НПО «Рогов-Третьяков»,Education,zao.org,+7 082 437 5926,"наб. Фадеева, д. 4 стр. 2/4",ст. Березники,Вьетнам,499013,149d4193-ae15-4527-bffc-8200ce232376,Active
РАО «Горбачев-Крылов»,Manufacturing,ao.net,8 641 433 9394,"пер. Геологов, д. 141 к. 95",г. Кемерово,Венгрия,415003,6d73bc86-dc04-498e-b0e3-cea8f185788f,Active
Кудрявцева Инкорпорэйтед,IT,ip.net,+7 (687) 769-7467,"ул. Достоевского, д. 42 стр. 3/6",п. Малоярославец,Науру,763356,768993b7-d69a-423c-a45f-d6bce400b2c3,Customer
ОАО «Максимов»,IT,rao.com,89453928304,"ш. Курское, д. 912",п. Глазов,Великобритания,700708,392dcb21-dac2-4674-b36c-2914651bbf4f,Inactive
"НПО «Гаврилова, Яковлев и Яковлев»",Construction,ao.ru,8 (449) 078-5783,"алл. Славянская, д. 6/7",клх Бомнак,Доминиканская Республика,542096,75d23a25-3b6a-4d83-bece-b641dd9b86fc,Prospect
ТД Интерторг,Finance,zao.ru,+7 184 415 2003,"пр. Красина, д. 76 к. 686",к. Тула,Панама,708149,57a5d484-0936-44cb-80bc-3f2dfc84dd76,Active
Инвестнефтетрейд,Healthcare,td.org,8 294 781 98 00,"пр. Ягодный, д. 369 стр. 6/6",г. Уварово,Монголия,152285,cdc1faf6-b8a7-42d2-a480-3094d452cee0,Customer
"АО «Борисов, Наумова и Сидоров»",Manufacturing,neftehimservis.net,+7 648 694 7423,"наб. К.Маркса, д. 932 к. 9/2",с. Старая Русса,Филиппины,340795,46e13e03-81bc-4a20-9916-4eb73e46da2c,Active
РАО «Медведева-Бобылев»,Construction,ao.ru,+7 546 261 0854,"ш. Свободное, д. 1 к. 226",клх Аша,Мексика,103072,e92e9848-8ef6-4d3b-818b-e35a627c45bc,Prospect
Авторусь,Construction,ip.ru,8 500 034 3803,"ш. Овражное, д. 6 стр. 6/1",клх Завьялиха,Исландия,083503,faddf150-cca9-4dc0-897a-5746af897231,Active
РАО «Костина-Громов»,IT,npo.info,8 (054) 407-2580,"алл. Химиков, д. 33 стр. 846",клх Колпашево,Намибия,202888,f0997037-6996-43c1-9190-b554c9fad7e8,Active
ОАО «Николаева»,Finance,ooo.ru,+75502403350,"алл. Парковая, д. 9 стр. 571",к. Зеленогорск (Ленин.),Демократическая Республика Конго,232571,d531ed0c-d2a8-4486-91f4-f0056688c4a9,Active
"ОАО «Савельев, Овчинников и Соколова»",Education,vorobeva.biz,84532946182,"алл. Кольцова, д. 804 стр. 166",с. Шамары,Иран,893898,e92e9848-8ef6-4d3b-818b-e35a627c45bc,Customer
"АО «Федотов, Сидорова и Тетерин»",IT,npo.org,+7 056 370 78 22,"пер. Загородный, д. 4",г. Оленек,Киргизия,112054,eb0a1c2e-42c7-4639-8210-0e3ba0085334,Inactive
РАО «Константинова Жданова»,Finance,tsentralnaja.com,+7 560 639 06 18,"бул. Краснофлотский, д. 121 к. 17",с. Талдом,Румыния,179595,72b7a962-ab6e-4c2a-9f23-0a6745820a86,Lead
ИП «Анисимова Быкова»,Construction,shchekinoazot.org,8 (946) 026-8972,"пр. Сенной, д. 993 стр. 34",к. Якша,США,838826,38026874-5264-4d6b-8f5e-149ba8c59f59,Inactive
РАО «Шестакова Терентьева»,IT,tehinkom.ru,87530541232,"ш. Шолохова, д. 561 к. 859",ст. Любань,Эстония,472902,90ea4d6b-8cdc-4438-b76c-4dc358b81977,Customer
Савин Инкорпорэйтед,Construction,oao.biz,+7 (004) 288-24-45,"алл. Песочная, д. 69 к. 8",к. Томск,Эсватини,090003,33bb8f39-da86-4431-bcd7-3f7152f898ba,Prospect
Северсталь,Healthcare,ip.biz,+7 (484) 878-89-32,"пер. Горького, д. 7/5 к. 819",д. Курск,Португалия,956773,eda843fd-75df-4fbc-bc51-d055ee06ec9e,Lead
ОАО «Суворова Белозерова»,IT,ip.com,8 831 802 2332,"пер. Рабочий, д. 2",к. Корсаков,Новая Зеландия,241180,98c1b953-9fb8-4e19-8af9-0d6de4d9c563,Active
