deal_id,product_id,quantity,price,discount_percentage,total_amount
19123,15,82,210.41,5.43,16316.75
13062,45,19,4233.86,8.77,73388.46
6273,74,9,2835.06,29.58,17968.04
17439,22,67,9221.74,11.97,543899.15
6676,64,85,6188.18,8.31,482285.09
8237,94,84,7135.88,5.54,566206.39
8237,75,35,2878.89,9.87,90816.02
5472,48,8,7763.91,17.32,51353.61
15876,49,41,7924.19,12.93,282883.28
13823,23,46,2803.13,2.07,126274.84
16257,20,86,6183.99,4.26,509167.47
16731,51,45,7139.18,28.63,229285.47
14703,36,67,3331.25,25.63,165989.19
6251,97,42,2668.55,19.92,89752.94
13989,66,10,9694.27,28.46,69352.81
18866,4,27,9145.17,0.83,244870.16
19336,48,13,7149.74,25.38,69356.77
10278,94,93,7081.13,16.03,552980.31
2608,6,46,3809.75,6.62,163647.05
16888,65,53,1483.6,19.48,63313.52
12536,20,78,1001.6,1.95,76601.37
17783,63,74,5102.58,0.35,376269.35
10813,83,89,5518.72,15.78,413660.07
3643,72,24,5651.19,14.7,115691.16
20,4,89,3983.73,1.9,347815.48
17757,19,82,3188.97,6.02,245753.51
306,11,60,9011.24,29.08,383446.28
6238,5,54,5346.26,29.12,204629.17
7209,2,11,6707.36,16.09,61909.6
19344,12,33,7264.38,23.11,184324.2
17293,44,17,5660.2,23.61,73505.06
11535,99,91,7620.55,29.16,491254.18
13254,52,100,7789.11,15.76,656154.63
1308,47,14,9072.57,21.33,99923.47
7556,94,60,224.69,29.57,9494.95
9921,9,72,5792.56,27.74,301370.68
17878,83,12,3056.51,18.61,29852.32
729,53,4,6888.47,28.11,19808.48
17046,1,22,789.73,19.47,13991.33
9105,55,86,1529.38,28.1,94567.68
5835,3,1,7359.9,1.58,7243.61
13160,91,24,2255.88,21.72,42381.67
11027,49,84,4800.33,9.68,364195.28
1974,16,40,5276.53,12.81,184024.26
2090,7,19,4886.85,9.86,83695.13
2941,14,1,2652.25,19.82,2126.57
2609,24,94,4995.63,21.73,367547.48
11949,50,67,2710.86,3.58,175125.35
13468,85,34,5523.4,18.31,153410.23
15263,45,35,6133.06,4.46,205083.39
17274,86,1,8609.75,0.84,8537.43
1316,30,57,2992.34,29.51,120230.13
3315,73,32,3312.48,22.72,81916.31
3119,74,66,2644.7,20.4,138941.96
12979,34,28,6240.11,8.79,159364.92
6167,22,82,6943.31,18.58,463565.93
7825,57,24,158.46,16.09,3191.13
12643,3,32,4820.19,2.55,150312.8
5791,77,97,6468.95,7.85,578230.33
16752,18,22,7847.1,23.45,132153.01
12517,31,94,3654.82,6.0,322939.9
11254,74,26,8048.7,19.65,168145.39
19500,99,69,9554.86,16.56,550107.69
10571,24,47,6622.62,22.2,242162.72
8479,77,18,5374.07,12.07,85057.56
580,99,6,9382.1,9.99,50668.97
7759,67,26,4206.54,24.16,82946.24
15526,94,29,5289.27,24.56,115716.53
8003,14,93,3561.38,10.04,297955.02
14053,1,87,490.63,2.35,41681.72
1885,26,27,1709.59,18.71,37522.59
12090,6,12,8831.94,25.88,78554.81
18531,9,5,4343.43,17.37,17944.88
17703,21,8,8186.12,25.53,48769.63
19150,51,61,2251.49,4.02,131819.79
19890,21,82,9020.09,13.17,642235.82
12085,51,76,4401.71,29.31,236479.23
19804,22,54,1778.29,8.61,87759.68
7889,90,59,7814.46,6.34,431822.37
829,29,39,738.71,13.92,24799.38
