id,company_name,industry,website,phone,address,city,country,postal_code,assigned_to,status
1,РАО «Щукин-Дмитриева»,Energy,www.ooo.com,81038081190,"пр. Красина, д. 444 к. 45",г. Каменномостский,Сейшельские Острова,062746,b60ad4be-9278-4a2b-affd-fd3574e6863c,Prospect
2,Крюкова Инкорпорэйтед,Education,www.zao.biz,8 (747) 511-3308,"пр. Тракторный, д. 90",с. Волоколамск,Австрия,943078,6147fcda-5527-4f1c-8387-12a048a0dbe6,Lead
3,ООО «Казакова»,Education,www.subbotin.com,+7 323 088 2858,"бул. Народный, д. 702 стр. 382",п. Энгельс,Казахстан,027921,e336500c-2c00-40e5-a611-69d7934dd403,Active
4,"РАО «Сидоров, Лыткина и Афанасьева»",Energy,www.ao.biz,8 931 949 45 58,"пр. Кленовый, д. 6/8",клх Калуга,Тунис,969192,326fef3f-8a26-4a01-9085-13fb37483e01,Inactive
5,ООО «Калашников»,Finance,www.zao.org,84797289044,"пр. Индустриальный, д. 5",с. Рязань,Турция,579386,706b2b58-712e-4e13-bf6d-02bf92eacd48,Prospect
6,ЗАО «Носков-Николаева»,Healthcare,www.npo.net,+77037736664,"алл. Рабочая, д. 73 к. 195",к. Агата,Италия,099332,c4f4b595-b14a-405e-9839-854322c20591,Lead
7,"РАО «Калашникова, Казакова и Щукин»",Manufacturing,www.rao.biz,+70801498437,"ул. Аэродромная, д. 9/4",с. Железногорск(Курск.),Болгария,222172,f0445761-f8ea-4d17-840b-8abde2c14d9c,Prospect
8,БелАЗ-24,Retail,www.rao.com,+7 (279) 232-4496,"ш. Краснофлотское, д. 283 к. 5",с. Избербаш,Сомали,112892,c701b146-51f6-48cb-880c-2900c6b708ee,Lead
9,"АО «Тихонова, Беляков и Лыткин»",Retail,www.oao.info,8 (779) 253-56-59,"пер. Менделеева, д. 32",г. Кетченеры,Уругвай,380911,f945d903-b6be-4943-a56b-1c7742941d83,Lead
10,ИП «Филатов»,Education,www.ooo.info,+7 579 170 9861,"бул. Гагарина, д. 203 стр. 74",д. Беслан,ЮАР,294475,fe2d484a-5fcd-478c-90a6-976604a12fe8,Prospect
11,"ООО «Лукин, Селезнев и Белов»",IT,www.saveleva.info,8 (849) 265-4744,"бул. Микрорайон, д. 457 к. 9/7",г. Дно,Казахстан,478105,53954df3-04e4-48a9-a745-976bd512e029,Active
12,ООО «Гришин»,Manufacturing,www.vtb.biz,8 441 973 35 67,"ш. Молодежное, д. 5 стр. 5",г. Люберцы,Грузия,607807,39dd5b71-1690-4156-80cc-027a0c8f1450,Active
13,Эйвон Бьюти Продактс Компани (Avon),Finance,www.zao.biz,8 657 010 37 45,"наб. Орджоникидзе, д. 4/6",д. Пенза,Коморы,477732,680551ba-1c0f-4ab2-a55a-da49832494b0,Inactive
14,Райффайзенбанк (Raiffeisen),Finance,www.kompanija.biz,+7 152 937 6571,"алл. Пионерская, д. 2 к. 3",п. Теберда,Армения,571381,1d64c1c8-d0af-4367-95f1-a38458985cd6,Prospect
15,НПО «Зыкова Горбунов»,IT,www.astellas.edu,+78201139631,"пр. Ручейный, д. 74 стр. 672",к. Миасс,Уганда,799021,2ff8a24f-f2cc-47e0-b7ce-4d3a137db258,Inactive
16,Комиссаров и партнеры,Finance,www.ip.org,8 062 456 2063,"наб. Озерная, д. 5/4 к. 1/2",ст. Витим,Австрия,584731,462ef563-75dc-4638-baeb-5d7ca6835ef2,Inactive
17,Первый канал,Education,www.oao.net,89067909466,"алл. Тюленина, д. 7 к. 43",п. Таганрог,Оман,647405,0a34abba-933b-46ad-83e7-26827392c528,Inactive
18,ИП «Носкова»,Retail,www.gromova.info,8 875 712 27 04,"ш. Радужное, д. 83 к. 67",к. Ряжск,Кот-д’Ивуар,481981,680551ba-1c0f-4ab2-a55a-da49832494b0,Prospect
19,Отисифарм,Energy,www.tsvetkova.ru,8 163 420 28 66,"наб. Колхозная, д. 2",с. Фатеж,КНДР,861804,7c7c5a17-d13e-4631-8c94-966bc68c511a,Lead
20,НПО «Некрасова Данилов»,IT,www.lukin.net,85315774094,"алл. Железнодорожная, д. 7/1 стр. 7",п. Вуктыл,Республика Конго,621127,0a34abba-933b-46ad-83e7-26827392c528,Lead
21,Воронов Лимитед,Education,www.ip.info,8 (988) 801-4815,"пр. Шолохова, д. 22",с. Балашов,Камерун,644775,7a5855bf-13e1-405f-8ef9-3ec8bf65c1df,Lead
22,АО «Тетерина Орлов»,Construction,www.naumov.info,+7 184 762 24 87,"пер. 50 лет Победы, д. 7/2 стр. 7/5",с. Щелково,Латвия,181698,345fa7de-cbce-4eeb-b157-a2bef0c7d98d,Inactive
23,"ОАО «Бобылев, Федотова и Щукин»",Manufacturing,www.ao.org,8 084 229 0691,"пр. Декабристов, д. 7/8 стр. 9",г. Усть-Кут,Демократическая Республика Конго,939897,e7bac3a7-46a7-4402-bc9c-9beb5573ef92,Inactive
24,"ОАО «Фомичев, Афанасьев и Горбунов»",Manufacturing,www.ip.com,+7 948 271 67 76,"бул. Орджоникидзе, д. 2/1 стр. 2",п. Благовещенск (Амур.),Уругвай,481144,17201ad5-fd5c-4bc2-9e0a-f2980340e12e,Inactive
25,Михайлов Лимитед,Construction,www.ooo.edu,89948208552,"ул. Маркса, д. 237 стр. 93",д. Гудермес,Черногория,180168,de533e47-7160-4cbe-bc90-e7d7769b94e6,Inactive
26,"АО «Горбунов, Федоров и Мамонтова»",Manufacturing,www.permenergosbit.biz,8 (748) 281-13-95,"ул. Радищева, д. 1/5 к. 6/4",с. Курганинск,Испания,442552,345fa7de-cbce-4eeb-b157-a2bef0c7d98d,Active
27,АО «Денисова Тихонов»,Education,www.orlov.info,8 898 728 69 37,"пр. Победы, д. 1 стр. 501",клх Чулым,Барбадос,785396,ffa439be-e000-4867-aecc-37554c02bfb4,Active
28,ОАО «Лобанова Игнатьева»,Education,www.zikov.biz,80987224379,"наб. Павлика Морозова, д. 235 стр. 125",к. Ессентуки,Андорра,017660,17201ad5-fd5c-4bc2-9e0a-f2980340e12e,Inactive
29,Куликов Лтд,Construction,www.titova.info,8 926 748 9144,"алл. Специалистов, д. 802",д. Тура,Литва,294749,39dd5b71-1690-4156-80cc-027a0c8f1450,Prospect
30,РАО «Рогова»,Retail,www.gorshkov.org,+7 227 558 07 94,"ул. Учительская, д. 5/2 стр. 138",п. Углегорск,Таджикистан,074950,345fa7de-cbce-4eeb-b157-a2bef0c7d98d,Inactive
31,Уральский банк реконструкции и развития,Finance,www.npo.edu,+7 984 099 20 20,"ул. Высоцкого, д. 51",клх Андреаполь,Непал,214982,2ff8a24f-f2cc-47e0-b7ce-4d3a137db258,Active
32,ЗАО «Самойлов-Шестаков»,IT,www.ip.info,8 (368) 219-19-69,"наб. Кошевого, д. 3 к. 111",п. Псков,Руанда,482688,14153a97-07db-4aba-9926-35f1fa8181e5,Prospect
